id;kode_efek;nama_efek;closing_price;closing_date;status_gadai
1;indexing;Research Indiana Focused;63558;2020-01-29;true
2;e-services Nakfa Bor;Baby multi-byte France;91035;2020-01-29;true
3;Robust Grocery Cloth;exuding Quality Romania;93781;2020-01-29;false
4;Practical Steel Tuna;Maryland exploit Mouse;53139;2020-01-29;false
5;Security;RAM;30387;2020-01-29;false
6;deposit;Kazakhstan ROI;91519;2020-01-29;false
7;port Profit-focused;Bike matrix;51910;2020-01-29;true
8;payment Designer;bandwidth;81541;2020-01-29;false
9;Intelligent Metal Ba;Investment Account Sleek bluetooth;31722;2020-01-29;false
10;benchmark;Borders black non-volatile;80627;2020-01-29;false
